epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,26993.4,0.73795,0.38482,1.04886,0.89746,0.89047,0.89643,0.64865,1.03307,0.55109,1.18623,0.000415005,0.000415005,0.000415005
138,27190.1,0.72036,0.37997,1.03768,0.89147,0.88154,0.89251,0.64341,1.01306,0.57117,1.16719,0.000413829,0.000413829,0.000413829
139,27386.7,0.73016,0.38246,1.03787,0.88196,0.87709,0.87453,0.63735,0.98024,0.57801,1.13669,0.000412646,0.000412646,0.000412646
140,27583.5,0.75183,0.40291,1.06676,0.89961,0.86819,0.87514,0.63839,0.9938,0.58361,1.15631,0.000411458,0.000411458,0.000411458
141,27780.2,0.74756,0.38755,1.05084,0.89721,0.8916,0.88088,0.62862,1.04225,0.57657,1.18259,0.000410262,0.000410262,0.000410262
142,27976.9,0.7521,0.39132,1.05954,0.89751,0.8961,0.88163,0.6384,1.03997,0.55825,1.17843,0.000409061,0.000409061,0.000409061
143,28173.7,0.74952,0.38961,1.05652,0.89554,0.89798,0.88592,0.64395,0.99282,0.54824,1.14612,0.000407854,0.000407854,0.000407854
144,28370.3,0.73021,0.38199,1.04929,0.90339,0.89069,0.8861,0.63873,1.01552,0.55015,1.16191,0.00040664,0.00040664,0.00040664
145,28567.1,0.71331,0.37284,1.03516,0.90054,0.8872,0.88292,0.6362,1.01068,0.58919,1.18846,0.00040542,0.00040542,0.00040542
146,28763.8,0.73648,0.38818,1.04896,0.88063,0.91164,0.88453,0.64942,1.0221,0.54635,1.17012,0.000404194,0.000404194,0.000404194
147,28960.6,0.7289,0.38286,1.03923,0.9051,0.91032,0.87653,0.6403,1.0215,0.56718,1.16369,0.000402963,0.000402963,0.000402963
148,29157.3,0.72439,0.3819,1.0493,0.90433,0.89612,0.88923,0.64535,1.04576,0.57302,1.18939,0.000401725,0.000401725,0.000401725
149,29354.1,0.73137,0.38489,1.0457,0.91963,0.90136,0.89318,0.65667,0.98922,0.53385,1.14579,0.000400481,0.000400481,0.000400481
150,29550.7,0.72334,0.378,1.04304,0.89625,0.90219,0.89036,0.63815,1.06434,0.54682,1.17522,0.000399232,0.000399232,0.000399232
151,29747.5,0.74553,0.39516,1.05779,0.9111,0.89376,0.88821,0.63516,1.04545,0.55265,1.17396,0.000397977,0.000397977,0.000397977
152,29944.1,0.73599,0.37657,1.03544,0.91208,0.8916,0.88613,0.64828,1.00712,0.56533,1.16578,0.000396716,0.000396716,0.000396716
153,30140.9,0.71729,0.37387,1.03872,0.90551,0.8908,0.88715,0.66204,0.98518,0.57147,1.15984,0.000395449,0.000395449,0.000395449
154,30337.7,0.70704,0.37201,1.03735,0.89094,0.89614,0.88957,0.6544,0.99524,0.5583,1.17587,0.000394177,0.000394177,0.000394177
155,30534.4,0.72297,0.37967,1.0488,0.89369,0.90941,0.90012,0.65419,1.00244,0.53422,1.15344,0.000392899,0.000392899,0.000392899
156,30731.1,0.71756,0.37894,1.03934,0.89952,0.90435,0.89606,0.65725,1.00578,0.52781,1.15165,0.000391616,0.000391616,0.000391616
157,30927.9,0.70751,0.37481,1.03696,0.90565,0.89467,0.8844,0.65379,0.99606,0.55015,1.16251,0.000390327,0.000390327,0.000390327
158,31124.5,0.70901,0.37401,1.03088,0.90912,0.88732,0.8783,0.64669,1.02642,0.54114,1.16564,0.000389032,0.000389032,0.000389032
159,31321.3,0.72345,0.37877,1.04393,0.8833,0.90152,0.89349,0.65651,1.00956,0.53983,1.16529,0.000387733,0.000387733,0.000387733
160,31518.2,0.71374,0.37652,1.03462,0.87846,0.89164,0.88878,0.6555,0.98801,0.55314,1.12831,0.000386428,0.000386428,0.000386428
161,31715.1,0.70473,0.36639,1.0178,0.90446,0.89698,0.88956,0.64831,1.00621,0.54918,1.16397,0.000385117,0.000385117,0.000385117
162,31911.8,0.71576,0.37763,1.03033,0.90936,0.89011,0.9006,0.66155,1.01161,0.53983,1.16448,0.000383802,0.000383802,0.000383802
163,32108.5,0.71875,0.37735,1.04106,0.89025,0.8975,0.89298,0.65224,0.99245,0.54051,1.15861,0.000382481,0.000382481,0.000382481
164,32305.3,0.71465,0.37306,1.02963,0.9011,0.89813,0.89061,0.65361,0.97465,0.54431,1.13776,0.000381155,0.000381155,0.000381155
165,32501.9,0.70627,0.37047,1.03148,0.88616,0.90791,0.89319,0.65658,1.00772,0.5517,1.17503,0.000379824,0.000379824,0.000379824
166,32698.3,0.69937,0.36769,1.02897,0.90275,0.87643,0.8906,0.65132,0.99582,0.53581,1.16194,0.000378488,0.000378488,0.000378488
167,32895,0.70493,0.36897,1.02285,0.88471,0.90364,0.89633,0.65655,1.02709,0.54366,1.17544,0.000377147,0.000377147,0.000377147
168,33091.6,0.70923,0.36922,1.02591,0.9087,0.88061,0.88916,0.65743,0.98933,0.54224,1.19073,0.000375801,0.000375801,0.000375801
169,33288.2,0.69745,0.36191,1.02789,0.8808,0.89106,0.89476,0.65705,1.0197,0.55137,1.20837,0.00037445,0.00037445,0.00037445
170,33484.9,0.7018,0.36028,1.02023,0.90199,0.89511,0.88395,0.6458,1.00625,0.55072,1.18721,0.000373094,0.000373094,0.000373094
171,33681.3,0.68623,0.35782,1.01626,0.88621,0.8929,0.87367,0.64944,1.00981,0.58471,1.18975,0.000371734,0.000371734,0.000371734
172,33878,0.72236,0.3743,1.04757,0.87992,0.88868,0.88004,0.64712,1.01767,0.58708,1.17479,0.000370369,0.000370369,0.000370369
173,34074.6,0.68405,0.35559,1.01909,0.90281,0.88718,0.88086,0.65852,0.97401,0.57027,1.16719,0.000368999,0.000368999,0.000368999
174,34271.3,0.68799,0.35919,1.01872,0.88495,0.8943,0.88601,0.65939,0.99808,0.55538,1.16717,0.000367625,0.000367625,0.000367625
175,34467.9,0.68649,0.35949,1.02458,0.88706,0.88539,0.8809,0.64823,1.03032,0.57097,1.18183,0.000366246,0.000366246,0.000366246
176,34664.4,0.69834,0.3612,1.02674,0.88393,0.88951,0.88708,0.65726,1.00858,0.57861,1.16023,0.000364863,0.000364863,0.000364863
177,34861.1,0.69869,0.36187,1.02519,0.88744,0.91372,0.89592,0.66622,0.99537,0.54547,1.17571,0.000363475,0.000363475,0.000363475
178,35057.7,0.68262,0.36097,1.02446,0.89938,0.88372,0.89072,0.66022,1.00462,0.56184,1.17761,0.000362083,0.000362083,0.000362083
179,35254.3,0.67948,0.35879,1.01391,0.91171,0.89124,0.87932,0.65154,1.02961,0.57874,1.18675,0.000360686,0.000360686,0.000360686
180,35451,0.68495,0.35681,1.01598,0.89988,0.89077,0.88459,0.65731,1.01423,0.56196,1.1614,0.000359285,0.000359285,0.000359285
